CUSTOMER_ID,INCOME,SAVINGS,DEBT,CLOTHING,EDUCATION,ENTERTAINMENT,FINES,GAMBLING,GROCERIES,HEALTH,HOUSING,TAX,TRAVEL,UTILITIES,EXPENDITURE,GAMBLING_ACTIVITY,HAS_DEBT,HAS_CREDIT_CARD,HAS_MORTGAGE,HAS_SAVINGS_ACCOUNT,HAS_DEPENDENTS,CREDIT_SCORE,HAS_DEFAULTED
C0K3Z24G8I,378893,622467,1975657,22731,8396,31975,0,0,34507,12037,0,13890,130447,16655,270638,No,True,False,False,True,False,563,True
C0KC053WZW,6789,3879,0,124,0,2460,0,0,438,0,0,0,6676,0,9698,No,False,False,False,True,False,599,False
C0MI6LD2MJ,11371,91999,9303,562,0,2904,0,204,3254,2177,0,132,0,1104,10337,Low,True,False,False,True,False,673,False
C0PTXJAE8V,81157,14756,81157,14177,0,26533,0,12895,10293,2527,0,3011,0,4343,73779,High,True,False,False,True,False,646,False
C0Q3WMNWFK,126790,369803,1215067,8313,4359,16217,0,0,14884,8582,0,6613,38039,8651,105658,No,True,False,False,True,False,581,False
C0SQRDFFQJ,189395,206612,671490,16742,9353,28487,0,17294,8315,3014,26779,3879,53665,4649,172177,High,True,False,False,True,False,633,False
C0TALH5KLT,26754,16052,179252,2720,0,9066,0,0,2960,870,8599,1040,0,1499,26754,No,True,False,False,True,False,566,False
C0TDWDICDY,113172,833360,967110,3519,0,8629,0,0,56103,11038,0,6529,0,17066,102884,No,True,False,False,True,True,596,False
C0TLIMKF6J,0,55493,96098,0,0,0,0,0,865,149,1210,0,10886,425,13535,No,True,False,False,True,False,623,False
C0U8XZDDOH,60213,876429,73593,2928,0,10110,0,0,10364,8264,15444,408,15967,3418,66903,No,True,False,False,True,False,630,True
C0VFGMXCSY,49201,44281,226325,5277,2939,9025,0,0,3015,1056,8410,1117,16896,1466,49201,No,True,False,False,True,False,624,False
C0XPGEXHTU,364432,1027036,2285984,1855,35493,20864,0,3292,83549,15147,77834,7843,66650,18775,331302,High,True,True,True,True,True,597,False
C0XX9E31V4,122247,48899,1014650,7797,0,29714,0,0,9994,4025,0,4023,61850,4844,122247,No,True,True,False,True,False,581,False
C0YWSHXQ6S,276482,1543693,23040,11165,34084,12021,0,2881,70272,10853,0,7538,63455,18133,230402,High,True,False,False,True,True,670,False
C0ZGQ31QU3,455849,1329559,1063647,17402,0,54719,0,0,41827,16926,54515,16846,157319,20320,379874,No,True,True,True,True,False,645,True
C100A9BNEE,22231,244541,37793,1342,0,2069,0,0,3115,2498,0,108,12149,950,22231,No,True,False,False,True,False,616,True
C13TFY2W0E,199356,398712,398712,25087,0,25035,0,0,27590,11241,0,11085,52857,13235,166130,No,True,False,False,True,False,632,False
C157QHWMOM,62978,377870,108781,1457,0,6502,0,0,6506,6734,13535,330,19201,2988,57253,No,True,False,False,True,False,639,False
C1DR8RYO0F,0,6979,6611,0,0,0,0,609,900,114,1518,0,0,532,3673,Low,True,False,False,True,False,490,False
C1E91TINGW,167342,669370,1073780,16029,0,38827,0,15692,31368,10841,0,11570,0,15125,139452,High,True,True,False,True,False,555,False
C1EO8P62U5,29647,438776,41506,1361,0,3879,0,0,5206,2148,0,176,15305,1572,29647,No,True,False,False,True,False,644,True
C1I0JM3J6J,22191,254192,14122,898,0,2506,0,232,3557,2456,0,121,9249,1155,20174,Low,True,False,False,True,False,642,False
C1IP5PJ22J,39989,383894,11997,1008,0,4490,0,341,5382,5613,9167,200,11756,2032,39989,Low,True,False,False,True,False,630,False
C1J68EOLWI,68682,611892,49950,1667,0,9012,0,0,8489,4662,18791,492,15155,4170,62438,No,True,False,True,True,False,695,False
C1KAX16QFA,0,5872,23487,0,0,0,0,0,369,36,411,0,4374,148,5338,No,True,False,False,True,False,462,True
C1MCCK6ROE,257356,857852,793513,15089,0,31896,517,0,32547,10887,0,12713,94163,16651,214463,No,True,False,False,True,False,654,False
C1N0CMN0KL,165726,1446336,708102,8186,0,8386,0,2302,53413,11577,0,5238,47747,13811,150660,High,True,False,False,True,True,577,False
C1O5ATWH88,88428,405295,36845,4948,0,3086,0,0,27597,4721,0,2299,24980,6059,73690,No,True,False,False,True,True,652,False
C1TMB5NMB4,8147,741,216996,417,2629,1377,0,0,1425,299,962,0,0,297,7406,No,True,False,False,True,False,407,False
C1UGBSYMRJ,105049,183836,595279,8766,0,12761,0,6156,11381,3270,0,4197,35493,5517,87541,High,True,False,False,True,False,545,False
C1VKCAMWP1,337587,882919,1921647,22635,0,35969,0,0,38592,11200,0,15515,117163,18608,259682,No,True,True,False,True,False,699,False
C1VY8O3SPZ,445075,1051996,3439219,26489,9911,55831,0,21462,45203,10470,53188,15068,147255,19737,404614,High,True,True,True,True,False,453,True
C1WU940IZW,82444,16489,486420,4336,0,25726,0,0,5556,1070,16667,2212,23985,2892,82444,No,True,False,True,True,False,590,False
C1XHW1POG6,106005,752636,773836,6060,0,4566,0,1016,38977,4171,0,3461,38666,9088,106005,High,True,False,False,True,True,529,False
C1XYQGZ7YG,68418,373188,74638,883,0,9763,0,669,7621,4625,15565,374,19240,3458,62198,Low,True,False,False,True,False,630,False
C1YHMBQFS8,202715,827752,3361687,3546,0,7107,0,2507,44710,6644,57616,5805,27029,13965,168929,High,True,True,True,True,True,475,True
C20CBBCVCU,17834,116914,37650,580,0,2535,0,0,2593,2405,4404,120,6199,980,19816,No,True,False,False,True,False,644,False
C22I09SSOP,183630,535588,1943418,8631,0,5104,0,0,46030,9872,41120,3797,28551,9920,153025,No,True,True,False,True,True,541,True
C283FM1PPN,0,18054,54162,0,0,0,0,493,621,91,0,0,7447,375,9027,Low,True,False,False,True,False,562,False
C297LLFJAJ,152243,478478,772090,4225,4656,17741,0,11162,17563,3686,0,7731,32692,9289,108745,High,True,False,False,True,False,599,False
C29HCTA0VF,31753,346392,49072,693,0,4144,0,0,3578,1747,6639,165,10428,1472,28866,No,True,False,False,True,False,601,False
C29N1DWJXJ,297745,893235,1020840,14135,0,36006,0,15550,34732,12033,0,15611,65859,18749,212675,High,True,False,False,True,False,588,False
C2C57M3YA9,197073,1021195,1863233,8416,20415,7366,0,1964,42294,5224,44960,3398,34209,10911,179157,High,True,False,True,True,True,572,False
C2F3X6KAG1,45142,45142,126398,5145,5786,20652,334,0,5403,2746,0,2202,0,2874,45142,No,True,False,False,True,False,608,False
C2FKNTXI7M,0,16496,19795,0,0,0,0,0,768,124,1295,0,5607,454,8248,No,True,False,False,True,False,596,True
C2GD9N4IZA,189857,348071,996748,13607,0,18590,0,0,22366,5000,0,8136,80710,9805,158214,No,True,True,False,True,False,617,False
C2GP7RIICV,87990,223975,63993,2868,0,3593,0,0,21098,4564,22511,2268,17606,5483,79991,No,True,False,False,True,True,631,False
C2QDTLDUW3,545667,873067,4983759,33088,0,35797,412,15609,47583,8850,51075,14464,137930,18970,363778,High,True,True,True,True,False,538,True
C2RE8P1DQD,230770,609893,725278,7936,0,24988,0,0,23179,7927,0,8535,81016,11255,164836,No,True,False,False,True,False,638,False
C2RXUZY60M,74577,522039,149154,6070,0,8766,0,0,11959,7481,0,480,35786,4035,74577,No,True,False,False,True,False,584,True
C2SXH15B7K,98229,392916,1241256,17615,4387,16728,0,7300,20231,6994,0,7293,0,8751,89299,High,True,False,False,True,False,517,True
C2WIGBDCRO,224036,936877,1120180,9245,0,9034,0,0,69424,16997,73638,7419,0,17912,203669,No,True,False,True,True,True,636,False
C2XCEM6G8W,295637,665183,2833186,10551,0,8769,0,3154,67448,15060,71691,7224,45123,17344,246364,High,True,True,True,True,True,585,True
C2YW1WUDAE,39822,50683,242553,3015,2391,7175,148,4475,1989,332,6854,830,7797,1196,36202,High,True,False,False,True,False,582,False
C2YXE7PUHM,85809,288630,312032,969,13713,3735,0,1217,24665,3919,0,3053,19356,7381,78008,High,True,False,False,True,True,613,False
C2ZE9A87BY,371850,2738164,405654,12860,35981,9726,0,0,78291,19709,78999,7960,75308,19211,338045,No,True,False,True,True,True,716,False
C311LUGZRH,287128,242955,3136326,17903,6629,25500,0,0,27310,8022,35630,11010,75630,13234,220868,No,True,True,False,True,False,519,False
C36K3R2B44,35947,330712,0,1260,0,4108,0,0,5023,2886,8517,209,12063,1881,35947,No,False,False,False,True,False,648,True
C373C9WCQB,461420,1417220,3229943,16469,9838,37452,0,19824,40620,18675,52912,12267,101862,19667,329586,High,True,True,True,True,False,740,False
C37QIJOSDU,53691,10738,263086,4642,0,11207,0,0,3042,765,10612,1536,20043,1844,53691,No,True,False,True,True,False,616,True
C384PVSZ9T,21767,166219,35618,1828,0,4406,0,0,6009,5245,0,240,0,2060,19788,No,True,False,False,True,False,619,False
C386Q2UUKB,0,29214,113782,0,0,0,0,571,872,231,1230,0,12042,430,15376,Low,True,False,False,True,False,582,False
C39B4IKK53,99273,148910,89346,7158,0,29056,0,0,9560,1808,0,4014,42847,4830,99273,No,True,False,False,True,False,676,False
C3AEUELIY4,177977,161797,453032,28067,8127,24246,0,0,9981,2914,23415,3391,57584,4072,161797,No,True,False,False,True,False,625,False
C3BAYT7JDN,42727,371725,81181,1968,0,4248,47,0,5788,3609,8778,228,16114,1947,42727,No,True,False,True,True,False,603,True
C3BTU56AAH,124887,133213,266426,7240,0,17843,0,9073,23483,8933,0,7220,0,9466,83258,High,True,False,False,True,False,593,True
C3EF5TDXN3,28444,173249,36201,1063,0,2985,0,0,4438,2238,0,168,13568,1398,25858,No,True,False,False,True,False,553,True
C3H8GW7C04,557523,1154870,2349563,7875,10190,39301,0,18216,41516,22045,55059,17013,166512,20504,398231,High,True,True,True,True,False,732,False
C3HCLE1DRY,0,9707,29929,0,0,0,0,313,625,109,744,0,6042,256,8089,Low,True,False,False,True,False,500,True
C3NCRZ1IUQ,270296,602968,2099992,15722,5710,21804,0,10098,23730,13551,30768,8714,66433,11390,207920,High,True,True,True,True,False,603,False
C3ODDHNOVM,163513,252702,758105,3605,0,39950,0,0,26318,10849,0,11215,40531,16180,148648,No,True,False,False,True,False,612,False
C3ODGU8YXC,163528,572348,1896925,10696,0,10377,0,3721,92156,19123,0,7066,0,20389,163528,High,True,False,False,True,True,504,False
C3R1QL1X40,114054,725795,684321,4173,0,3617,0,0,27528,2512,29258,2948,26544,7105,103685,No,True,False,True,True,True,603,True
C3ROBBPHCZ,56657,442952,51506,1085,0,6273,0,0,7618,3517,12920,308,16915,2870,51506,No,True,False,False,True,False,635,True
C3T8YF5SQA,67827,776239,82899,6359,0,9364,0,0,12660,8102,0,516,33977,4385,75363,No,True,False,False,True,False,639,False
C3TS8Y4O0V,88276,105931,635587,8884,0,17509,0,8606,5914,1727,0,2180,40585,2871,88276,High,True,False,False,True,False,564,False
C3UCLV7RVH,123364,185046,1122612,4577,0,35005,0,0,10607,4622,0,3829,59699,5025,123364,No,True,False,False,True,False,535,False
C3UTGPU7LW,64249,147773,1278555,1857,10413,2783,0,928,21343,5286,0,2289,13856,5494,64249,Low,True,True,False,True,True,447,True
C3VO9SYOW6,174117,411549,2311005,7020,5367,20297,0,0,20203,6062,28903,8931,50785,10720,158288,No,True,True,False,True,False,552,False
C41ADEN33W,113584,435404,870808,4820,0,21597,0,8523,16318,4867,23308,6602,0,8618,94653,High,True,True,False,True,False,541,True
C448YFIZIR,0,5078,48245,0,0,0,0,0,548,56,796,0,4672,276,6348,No,True,False,False,True,False,548,False
C46KSYX7EO,169985,538285,1501532,11900,6279,31279,0,0,28375,7258,33671,10404,0,12488,141654,No,True,True,False,True,False,573,False
C47X4FRYZW,30500,206723,30500,1083,0,3510,0,323,4302,3010,7302,176,12565,1618,33889,Low,True,False,False,True,False,644,False
C49NUIILV5,245854,770344,655612,11640,6807,26034,0,0,25886,7623,0,10361,61977,13575,163903,No,True,False,False,True,False,714,False
C49S0DC5D8,156316,203211,1078580,10228,0,35787,0,0,10356,3234,25106,3636,63583,4386,156316,No,True,True,True,True,False,559,False
C4ALDZHZ9J,392466,1298157,3200108,27218,8522,32798,0,0,37554,12764,0,12981,153027,17033,301897,No,True,True,False,True,False,515,False
C4BHCCS6R6,0,87105,40773,0,0,0,0,0,1274,305,1549,0,14866,539,18533,No,True,False,False,True,False,556,False
C4EJLTBMYB,174554,1221878,2059737,10928,25601,6823,0,0,54798,13274,0,5689,43760,13681,174554,No,True,True,False,True,True,540,True
C4HOGXNJM0,0,47686,22321,0,0,0,0,0,733,87,0,0,8974,352,10146,No,True,False,False,True,False,544,True
C4I4XMZC0P,32790,366651,47694,1297,0,3955,0,365,4872,4501,0,198,12780,1841,29809,Low,True,False,False,True,False,605,False
C4J3E9TQZD,19242,16836,98613,935,6756,2556,47,0,3607,737,0,0,8638,776,24052,No,True,False,False,True,False,647,True
C4KND3RVCP,54779,59759,453171,2501,0,7557,0,0,2811,1591,7163,951,25976,1249,49799,No,True,False,False,True,False,548,False
C4M9VSRW40,158860,303278,1588598,5376,16608,4425,0,1523,34301,7387,36509,3678,25722,8889,144418,High,True,True,False,True,True,563,True
C4NPELEDLR,188522,616982,1233965,14512,0,19311,0,9432,21519,7454,0,8640,80194,10322,171384,High,True,False,False,True,False,546,True
C4NZ0319ZT,433903,1814502,3629004,42342,0,57459,0,20936,42225,16623,0,13914,180840,20118,394457,High,True,True,False,True,False,598,True
C4PWSR0X4F,48754,224268,667930,846,0,3676,0,0,26912,7382,0,2743,0,7195,48754,No,True,False,False,True,True,539,False
C4Q5IYMJW4,309626,2702189,2279972,14934,0,14177,0,2931,73147,17989,77812,7186,54407,18895,281478,High,True,False,True,True,True,520,True
C4RLIQ9D68,85848,788244,62435,1338,0,7980,0,0,10856,9105,16426,396,28295,3648,78044,No,True,False,True,True,False,637,True
C4S93WITPG,12615,7884,466762,376,4562,1718,0,0,2077,216,1677,0,4622,521,15769,No,True,False,False,True,False,389,True
C4SCZ0AXF3,25331,322392,39148,697,0,3941,0,0,4828,3351,8201,198,0,1812,23028,No,True,False,False,True,False,629,False
C4W41JNE9C,2783,1855,0,103,216,3889,0,0,430,0,0,0,0,0,4638,No,False,False,False,True,False,570,False
C4WE469WG0,28329,181306,39661,1361,0,2721,0,247,3568,2557,5691,135,10797,1252,28329,Low,True,False,False,True,False,650,False
C4XMSGPM3M,55865,50278,502785,5873,0,12293,0,7263,4381,2133,0,1670,20232,2020,55865,High,True,False,False,True,False,547,False
C4Y2Z0N6F4,60744,747151,6074,2004,0,6630,0,0,8227,7115,0,330,33389,3049,60744,No,True,False,False,True,False,627,False
C4ZT2VG3Q0,17783,247184,14226,608,0,2553,0,0,2760,424,5272,132,4872,1162,17783,No,True,False,False,True,False,683,False
C521B3X1NS,257093,237317,850385,21152,0,37788,0,0,46672,4680,53732,13837,0,19903,197764,No,True,False,True,True,False,614,True
C55Q1QEAQ9,95946,759572,239865,3045,16193,4357,292,0,37027,6825,0,3588,0,8628,79955,No,True,False,False,True,True,623,False
C562D73YDK,92891,139336,371564,16704,8182,24885,0,0,9275,3127,23508,3120,0,4090,92891,No,True,False,True,True,False,608,True
C564B168K4,150768,41119,1000553,13714,0,38678,0,15824,8866,3523,0,3570,48584,4303,137062,High,True,False,False,True,False,549,False
C56CX1WRAL,13271,2654,290635,618,5182,2685,0,876,2757,564,0,0,0,589,13271,Low,True,False,False,True,False,439,True
C56HT93U17,386976,1250231,654883,36665,0,43717,0,0,42415,11024,0,10896,135470,17487,297674,No,True,False,False,True,False,562,False
C593WVKN4X,89013,80112,854525,8615,0,13534,0,0,4857,1860,12766,1694,43467,2220,89013,No,True,True,False,True,False,550,True
C5B49IMGXW,29458,23566,288688,1567,0,4578,0,0,4770,557,0,0,17044,942,29458,No,True,False,False,True,False,485,True
C5B7Z06C8F,295259,840351,2657327,8158,0,27789,0,14295,30679,12107,0,10236,109149,14709,227122,High,True,True,False,True,False,603,True
C5E2NVEHCK,159746,261403,319493,18509,9576,29336,0,0,9249,3136,0,3663,66937,4818,145224,No,True,False,False,True,False,637,False
C5FNC1DMDV,16232,3246,412293,267,4237,1612,0,0,2249,409,1568,0,5405,485,16232,No,True,True,False,True,False,396,True
C5GAZWY340,179326,435506,1306518,12306,0,13503,0,0,16923,2786,19136,5421,50922,7093,128090,No,True,False,False,True,False,587,False
C5GKDSM9NW,7501,2500,0,265,0,7190,0,0,879,0,0,0,0,0,8334,No,False,False,False,True,False,627,False
C5IOLMPHJL,332986,880034,2449824,20865,0,33075,0,17659,35740,11990,0,14370,86800,17348,237847,High,True,True,False,True,False,640,False
C5IUBZWZKO,24442,157762,13332,642,0,3532,0,0,2872,1652,4894,132,7405,1091,22220,No,True,False,False,True,False,612,False
C5JQOBBP5Y,19798,22272,138583,1127,0,2888,0,0,4504,899,0,0,14442,887,24747,No,True,False,False,True,False,575,False
C5KBEUQLYY,65690,65690,302174,3427,0,16496,0,6075,4702,927,11664,1691,18678,2030,65690,High,True,False,False,True,False,550,False
C5MV7WWULA,79805,348240,224905,17723,0,11812,0,6380,16027,9017,0,5270,0,6321,72550,High,True,False,False,True,False,551,False
C5NHFIUE1I,122275,442073,799493,6558,0,9981,0,5647,10933,3776,14268,3307,34297,5291,94058,High,True,True,False,True,False,557,False
C5NPA62PUQ,240892,306590,766476,23077,8463,30783,0,15685,11277,6658,0,3512,115310,4228,218993,High,True,True,False,True,False,554,False
C5ORUK2LLQ,30367,343147,36440,606,0,3821,0,0,3900,3547,6587,168,10280,1458,30367,No,True,False,False,True,False,628,True
C5UDU8LSNI,120396,953135,1956435,1968,0,4552,202,0,32349,2420,36883,3715,9232,9009,100330,No,True,False,True,True,True,494,True
C5V4MTNH38,113108,45243,1063215,7161,0,38617,0,0,8724,3687,25897,3438,21084,4500,113108,No,True,False,False,True,False,556,False
C5VDWVXV5V,97109,135953,699185,5192,8166,24485,0,0,8277,1468,0,3087,42357,4077,97109,No,True,False,False,True,False,600,False
C5VKN49V4F,275239,550477,613994,12273,0,38466,0,0,36607,7202,0,16933,79811,20430,211722,No,True,False,False,True,False,708,False
C5X8TUAWPM,66816,861926,93542,1799,0,9150,0,0,12176,8165,0,501,30824,4201,66816,No,True,False,False,True,False,613,False
C5X9WBVV6X,26576,7248,198112,1025,5581,2115,0,0,3125,795,0,0,10879,640,24160,No,True,False,False,True,False,519,False
C5ZEYQGYAF,47193,61351,193491,7712,3752,11733,0,0,3548,732,0,1565,16266,1885,47193,No,True,False,False,True,False,628,False
C5ZF1U3RVW,1635,818,0,76,162,2143,0,0,344,0,0,0,0,0,2725,No,False,False,False,True,False,682,False
C5ZUUPPYZM,16014,97685,20818,637,0,5318,0,0,5366,1983,0,288,0,2422,16014,No,True,False,False,True,False,654,False
C60AFNFT5Z,85265,31006,224791,3873,3799,24042,0,0,3909,1314,10875,1574,26240,1888,77514,No,True,False,True,True,False,586,False
C61V6QHXW7,295687,320328,2537982,26398,0,26991,0,0,24351,9973,29449,9100,109163,10981,246406,No,True,False,False,True,False,635,False
C620Y7KVLZ,39384,350518,63014,1776,0,8853,0,0,6254,5939,13268,348,0,2946,39384,No,True,False,True,True,False,656,False
C64SBUXM7K,10600,2120,217300,334,0,1672,109,0,2157,230,0,0,5589,509,10600,No,True,True,False,True,False,485,True
C672DD9L47,363335,1453339,1877230,14313,8374,31743,1164,15275,34688,15965,45051,12760,106763,16683,302779,High,True,True,False,True,False,611,False
C67VECQGVI,89137,704182,80223,3617,0,7632,0,708,10050,13449,15817,420,33945,3499,89137,Low,True,False,True,True,False,620,True
C6AT1YT77Y,282096,866437,2035120,16506,9738,37452,0,0,37333,8149,0,16281,56460,19578,201497,No,True,True,False,True,False,610,False
C6C2EZIN4R,149546,473564,1445615,6880,6912,36932,0,10772,28591,10062,0,10566,0,13907,124622,High,True,False,False,True,False,540,False
C6ECE5XCQW,168810,379822,2025720,19407,9127,34611,0,0,36772,7442,0,15117,0,18199,140675,No,True,False,False,True,False,574,False
C6ERYK4NQ5,6405,712,0,73,150,1906,0,0,270,0,0,0,4718,0,7117,No,False,False,False,True,False,632,False
C6ETOMBMK7,84772,254315,952051,8876,0,21112,0,0,16768,2714,0,7140,0,8599,65209,No,True,False,False,True,False,548,False
C6F81FG76X,85831,236036,729565,6915,2603,9896,0,0,10734,1842,0,4323,30007,5206,71526,No,True,False,False,True,False,596,True
C6HBWSF91H,154697,297495,1201880,7434,0,23002,0,0,16915,6465,0,6754,49575,8853,118998,No,True,False,False,True,False,558,True
C6I55CJD5C,2657,1860,69613,180,0,849,0,0,1214,150,0,0,0,264,2657,No,True,False,False,True,False,409,True
C6ICCK6ASA,55167,401216,5015,1200,0,6270,0,0,7072,6887,10594,253,15535,2341,50152,No,True,False,False,True,False,644,False
C6ILUKQBQU,100288,230662,330950,5806,15638,6019,0,0,32340,5009,0,3458,23729,8289,100288,No,True,False,False,True,True,608,False
C6K4JE4XGY,51559,670270,68746,2192,0,7517,0,0,6999,4221,11418,250,22167,2524,57288,No,True,False,False,True,False,604,True
C6K8RD02SY,92257,661177,861067,2548,0,4498,0,0,31025,6129,0,3653,20211,8817,76881,No,True,False,False,True,True,578,True
C6M2N1ZIWS,8054,1790,0,67,179,2723,0,0,435,0,0,0,5545,0,8949,No,False,False,False,True,False,620,False
C6MHIC9CQ3,5010,5636,26300,548,0,1880,0,0,1863,275,1295,0,0,401,6262,No,True,False,False,True,False,528,False
C6MQ5N5QNN,20118,12574,701601,1266,0,3034,0,0,4288,665,2982,0,11989,923,25147,No,True,True,False,True,False,323,True
C6NIRAFIVW,168502,428915,903786,5978,16063,4307,0,0,38678,7563,35320,3559,33162,8554,153184,No,True,False,True,True,True,601,True
C6R2ZIZZN6,40828,648705,54437,732,0,7306,0,556,7852,57,14889,396,10268,3308,45364,Low,True,False,False,True,False,636,True
C6RJ7P6K19,230465,362160,642010,12377,7222,27623,0,11783,29878,10472,38879,12014,0,14370,164618,High,True,False,True,True,False,627,False
C6SOYZWMLZ,41913,419130,13971,1137,0,8226,0,815,8042,6392,0,414,17768,3776,46570,Low,True,False,False,True,False,662,True
C6T9XANTEC,190021,1409324,142516,10981,0,6868,0,0,54634,11115,0,5617,55621,13515,158351,No,True,False,False,True,True,653,False
C71SU8FUH8,210482,325290,918466,11556,0,32398,0,0,24903,8686,34610,10695,55651,12848,191347,No,True,True,False,True,False,640,False
C75BHUCCYU,78320,590960,78320,571,0,9009,43,623,10019,7996,18564,451,19798,4126,71200,Low,True,False,False,True,False,657,True
C773VHZLD3,15640,152133,22749,570,0,2073,15,0,2536,2569,0,99,5404,952,14218,No,True,False,False,True,False,611,False
C77BH7Y6NQ,237505,296882,554179,4382,6265,23781,0,0,22122,4422,33548,9502,81412,12487,197921,No,True,False,False,True,False,672,False
C77PC8A6E9,15221,3044,0,195,0,6373,0,0,725,0,0,0,7928,0,15221,No,False,False,False,True,False,645,True
C786XCTMG7,0,2910,4802,0,0,0,0,0,463,124,640,0,0,228,1455,No,True,False,False,True,False,502,False
C7E9VWUS6H,92173,73738,9217,10316,0,23795,0,0,5747,2324,15979,2315,28909,2788,92173,No,True,False,False,True,False,611,False
C7ERV95N79,71426,138089,152374,2435,0,13312,0,0,14499,5033,0,5339,0,6999,47617,No,True,False,False,True,False,634,False
C7J5ZDH9QO,102302,102302,235295,17660,9003,27338,0,0,10817,3299,25916,3754,0,4515,102302,No,True,False,False,True,False,623,False
C7JA93ZDD4,28181,11272,397352,618,7786,2951,0,0,4126,557,0,0,11254,889,28181,No,True,False,False,True,False,544,True
C7JJ60IKOT,110743,694658,422835,5286,12250,3297,0,0,27994,6995,0,2717,35604,6532,100675,No,True,False,False,True,True,595,False
C7JLBW6G6D,260417,725447,446429,19951,0,23986,0,0,25863,10453,0,6931,87664,11164,186012,No,True,False,False,True,False,592,False
C7JVBVS5G5,60917,636858,88606,1345,0,8273,0,0,7156,4815,12118,270,18705,2697,55379,No,True,False,False,True,False,642,False
C7K2888WAA,89043,53426,641110,10349,0,24680,0,14965,7667,692,23481,3118,0,4091,89043,High,True,False,False,True,False,569,False
C7K2J89CI8,112744,403998,1428086,2972,18496,4976,0,0,35106,3617,0,3761,15150,9875,93953,No,True,False,False,True,True,545,True
C7L3TVE8Y7,46547,67704,118482,1952,2595,10871,0,4571,2205,775,0,898,17155,1293,42315,High,True,False,False,True,False,589,False
C7NHAUTLND,43294,59037,184983,2475,2397,7294,0,0,2394,398,6890,996,15316,1198,39358,No,True,True,False,True,False,615,False
C7QEBQW9RI,170819,931740,1133617,6943,0,8362,0,0,58953,9975,0,6438,47740,16879,155290,No,True,False,False,True,True,628,False
C7S01K7107,182933,436226,1590113,4661,0,26703,0,0,19075,7710,0,7692,65607,9270,140718,No,True,False,False,True,False,566,False
